price,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,engine-size,num-of-cylinders,curb-weight,height,width,length,wheel-base,normalized-losses,make_bmw,make_chevrolet,make_dodge,make_honda,make_jaguar,make_mazda,make_mercedes-benz,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo
13950.0,30,24,5500.0,102.0,10.0,109,4,2337,54.3,66.2,176.6,99.8,164.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17450.0,22,18,5500.0,115.0,8.0,136,5,2824,54.3,66.4,176.6,99.4,164.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17710.0,25,19,5500.0,110.0,8.5,136,5,2844,55.7,71.4,192.7,105.8,158.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23875.0,20,17,5500.0,140.0,8.3,131,5,3086,55.9,71.4,192.7,105.8,158.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16430.0,29,23,5800.0,101.0,8.8,108,4,2395,54.3,64.8,176.8,101.2,192.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16925.0,29,23,5800.0,101.0,8.8,108,4,2395,54.3,64.8,176.8,101.2,192.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20970.0,28,21,4250.0,121.0,9.0,164,6,2710,54.3,64.8,176.8,101.2,188.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21105.0,28,21,4250.0,121.0,9.0,164,6,2765,54.3,64.8,176.8,101.2,188.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5151.0,53,47,5100.0,48.0,9.5,61,3,1488,53.2,60.3,141.1,88.4,121.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6295.0,43,38,5400.0,70.0,9.6,90,4,1874,52.0,63.6,155.9,94.5,98.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6575.0,43,38,5400.0,70.0,9.6,90,4,1909,52.0,63.6,158.8,94.5,81.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5572.0,41,37,5500.0,68.0,9.41,90,4,1876,50.8,63.8,157.3,93.7,118.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6377.0,38,31,5500.0,68.0,9.4,90,4,1876,50.8,63.8,157.3,93.7,118.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7957.0,30,24,5500.0,102.0,7.6,98,4,2128,50.8,63.8,157.3,93.7,118.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6229.0,38,31,5500.0,68.0,9.4,90,4,1967,50.6,63.8,157.3,93.7,148.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6692.0,38,31,5500.0,68.0,9.4,90,4,1989,50.6,63.8,157.3,93.7,148.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7609.0,38,31,5500.0,68.0,9.4,90,4,1989,50.6,63.8,157.3,93.7,148.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8558.0,30,24,5500.0,102.0,7.6,98,4,2191,50.6,63.8,157.3,93.7,148.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8921.0,30,24,5000.0,88.0,8.5,122,4,2535,59.8,64.6,174.6,103.3,110.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12964.0,24,19,5000.0,145.0,7.0,156,4,2811,50.2,66.3,173.2,95.9,145.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6479.0,54,49,4800.0,58.0,9.6,92,4,1713,50.8,63.9,144.6,86.6,137.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6855.0,38,31,6000.0,76.0,9.2,92,4,1819,50.8,63.9,144.6,86.6,137.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5399.0,42,38,5500.0,60.0,10.1,79,4,1837,52.6,64.0,150.0,93.7,101.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6529.0,34,30,6000.0,76.0,9.2,92,4,1940,52.6,64.0,150.0,93.7,101.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7129.0,34,30,6000.0,76.0,9.2,92,4,1956,52.6,64.0,150.0,93.7,101.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7295.0,34,30,6000.0,76.0,9.2,92,4,2010,54.5,64.0,163.4,96.5,110.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7295.0,34,30,6000.0,76.0,9.2,92,4,2024,58.3,63.9,157.1,96.5,78.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7895.0,33,27,5800.0,86.0,9.0,110,4,2236,53.3,65.2,167.5,96.5,106.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
